id,curr,date,val
0,usd-bna/sell,2003-08-01,2.86
0,usd-bna/sell,2003-08-04,2.88
0,usd-bna/sell,2003-08-05,2.86
0,usd-bna/sell,2003-08-06,2.86
0,usd-bna/sell,2003-08-07,2.86
0,usd-bna/sell,2003-08-08,2.86
0,usd-bna/sell,2003-08-11,2.84
0,usd-bna/sell,2003-08-12,2.82
0,usd-bna/sell,2003-08-13,2.8
0,usd-bna/sell,2003-08-14,2.82
0,usd-bna/sell,2003-08-15,2.82
0,usd-bna/sell,2003-08-19,2.82
0,usd-bna/sell,2003-08-20,2.84
0,usd-bna/sell,2003-08-21,2.86
0,usd-bna/sell,2003-08-22,2.88
0,usd-bna/sell,2003-08-25,2.84
0,usd-bna/sell,2003-08-26,2.84
0,usd-bna/sell,2003-08-27,2.88
0,usd-bna/sell,2003-08-28,2.88
0,usd-bna/sell,2003-08-29,2.88
0,usd-bna/sell,2003-09-01,2.88
0,usd-bna/sell,2003-09-02,2.89
0,usd-bna/sell,2003-09-03,2.9
0,usd-bna/sell,2003-09-04,2.88
0,usd-bna/sell,2003-09-05,2.86
0,usd-bna/sell,2003-09-08,2.86
0,usd-bna/sell,2003-09-09,2.88
0,usd-bna/sell,2003-09-10,2.88
0,usd-bna/sell,2003-09-11,2.85
0,usd-bna/sell,2003-09-12,2.83
0,usd-bna/sell,2003-09-13,2.83
0,usd-bna/sell,2003-09-15,2.83
0,usd-bna/sell,2003-09-16,2.83
0,usd-bna/sell,2003-09-17,2.83
0,usd-bna/sell,2003-09-18,2.83
0,usd-bna/sell,2003-09-19,2.83
0,usd-bna/sell,2003-09-22,2.83
0,usd-bna/sell,2003-09-23,2.83
0,usd-bna/sell,2003-09-24,2.83
0,usd-bna/sell,2003-09-25,2.83
0,usd-bna/sell,2003-09-26,2.83
0,usd-bna/sell,2003-09-29,2.83
0,usd-bna/sell,2003-09-30,2.83
0,usd-bna/sell,2003-10-01,2.83
0,usd-bna/sell,2003-10-02,2.83
0,usd-bna/sell,2003-10-03,2.83
0,usd-bna/sell,2003-10-06,2.81
0,usd-bna/sell,2003-10-07,2.81
0,usd-bna/sell,2003-10-08,2.79
0,usd-bna/sell,2003-10-09,2.79
0,usd-bna/sell,2003-10-10,2.77
0,usd-bna/sell,2003-10-14,2.77
0,usd-bna/sell,2003-10-15,2.77
0,usd-bna/sell,2003-10-16,2.77
0,usd-bna/sell,2003-10-17,2.77
0,usd-bna/sell,2003-10-20,2.77
0,usd-bna/sell,2003-10-21,2.77
0,usd-bna/sell,2003-10-22,2.77
0,usd-bna/sell,2003-10-23,2.77
0,usd-bna/sell,2003-10-24,2.77
0,usd-bna/sell,2003-10-27,2.77
0,usd-bna/sell,2003-10-28,2.77
0,usd-bna/sell,2003-10-29,2.77
0,usd-bna/sell,2003-10-30,2.79
0,usd-bna/sell,2003-10-31,2.8
0,usd-bna/sell,2003-11-03,2.78
0,usd-bna/sell,2003-11-04,2.78
0,usd-bna/sell,2003-11-05,2.78
0,usd-bna/sell,2003-11-06,2.78
0,usd-bna/sell,2003-11-07,2.78
0,usd-bna/sell,2003-11-10,2.78
0,usd-bna/sell,2003-11-11,2.78
0,usd-bna/sell,2003-11-12,2.78
0,usd-bna/sell,2003-11-13,2.78
0,usd-bna/sell,2003-11-14,2.78
0,usd-bna/sell,2003-11-17,2.8
0,usd-bna/sell,2003-11-18,2.8
0,usd-bna/sell,2003-11-19,2.78
0,usd-bna/sell,2003-11-20,2.8
0,usd-bna/sell,2003-11-21,2.8
0,usd-bna/sell,2003-11-24,2.82
0,usd-bna/sell,2003-11-25,2.84
0,usd-bna/sell,2003-11-26,2.86
0,usd-bna/sell,2003-11-27,2.88
0,usd-bna/sell,2003-11-28,2.9
0,usd-bna/sell,2003-12-01,2.9
0,usd-bna/sell,2003-12-02,2.9
0,usd-bna/sell,2003-12-03,2.9
0,usd-bna/sell,2003-12-04,2.93
0,usd-bna/sell,2003-12-05,2.93
0,usd-bna/sell,2003-12-09,2.91
0,usd-bna/sell,2003-12-10,2.91
0,usd-bna/sell,2003-12-11,2.91
0,usd-bna/sell,2003-12-12,2.91
0,usd-bna/sell,2003-12-15,2.93
0,usd-bna/sell,2003-12-16,2.93
0,usd-bna/sell,2003-12-17,2.93
0,usd-bna/sell,2003-12-18,2.93
0,usd-bna/sell,2003-12-19,2.93
