Fecha,Precio de venta,Tipo de dólar
03/09/2012 12:00:00 a.m.,"6,34",Informal (Blue)
04/09/2012 12:00:00 a.m.,"4,655",Oficial
04/09/2012 12:00:00 a.m.,"6,35",Informal (Blue)
05/09/2012 12:00:00 a.m.,"4,665",Oficial
05/09/2012 12:00:00 a.m.,"6,35",Informal (Blue)
06/09/2012 12:00:00 a.m.,"4,67",Oficial
06/09/2012 12:00:00 a.m.,"6,34",Informal (Blue)
07/09/2012 12:00:00 a.m.,"4,675",Oficial
07/09/2012 12:00:00 a.m.,"6,33",Informal (Blue)
10/09/2012 12:00:00 a.m.,"4,66",Oficial
10/09/2012 12:00:00 a.m.,"6,33",Informal (Blue)
11/09/2012 12:00:00 a.m.,"4,66",Oficial
11/09/2012 12:00:00 a.m.,"6,3",Informal (Blue)
12/09/2012 12:00:00 a.m.,"4,66",Oficial
12/09/2012 12:00:00 a.m.,"6,32",Informal (Blue)
13/09/2012 12:00:00 a.m.,"4,6625",Oficial
13/09/2012 12:00:00 a.m.,"6,3",Informal (Blue)
14/09/2012 12:00:00 a.m.,"4,67",Oficial
14/09/2012 12:00:00 a.m.,"6,31",Informal (Blue)
17/09/2012 12:00:00 a.m.,"4,6725",Oficial
17/09/2012 12:00:00 a.m.,"6,3",Informal (Blue)
18/09/2012 12:00:00 a.m.,"4,675",Oficial
18/09/2012 12:00:00 a.m.,"6,31",Informal (Blue)
19/09/2012 12:00:00 a.m.,"4,68",Oficial
19/09/2012 12:00:00 a.m.,"6,31",Informal (Blue)
20/09/2012 12:00:00 a.m.,"4,68",Oficial
20/09/2012 12:00:00 a.m.,"6,32",Informal (Blue)
21/09/2012 12:00:00 a.m.,"4,68",Oficial
21/09/2012 12:00:00 a.m.,"6,32",Informal (Blue)
25/09/2012 12:00:00 a.m.,"4,68",Oficial
25/09/2012 12:00:00 a.m.,"6,32",Informal (Blue)
26/09/2012 12:00:00 a.m.,"4,68",Oficial
26/09/2012 12:00:00 a.m.,"6,29",Informal (Blue)
27/09/2012 12:00:00 a.m.,"4,68",Oficial
27/09/2012 12:00:00 a.m.,"6,3",Informal (Blue)
28/09/2012 12:00:00 a.m.,"4,68",Oficial
28/09/2012 12:00:00 a.m.,"6,3",Informal (Blue)
01/10/2012 12:00:00 a.m.,"4,68",Oficial
01/10/2012 12:00:00 a.m.,"6,26",Informal (Blue)
02/10/2012 12:00:00 a.m.,"4,68",Oficial
02/10/2012 12:00:00 a.m.,"6,26",Informal (Blue)
03/10/2012 12:00:00 a.m.,"4,68",Oficial
03/10/2012 12:00:00 a.m.,"6,25",Informal (Blue)
04/10/2012 12:00:00 a.m.,"4,68",Oficial
04/10/2012 12:00:00 a.m.,"6,19",Informal (Blue)
05/10/2012 12:00:00 a.m.,"4,68",Oficial
05/10/2012 12:00:00 a.m.,"6,18",Informal (Blue)
09/10/2012 12:00:00 a.m.,"4,68",Oficial
09/10/2012 12:00:00 a.m.,"6,2",Informal (Blue)
10/10/2012 12:00:00 a.m.,"4,68",Oficial
10/10/2012 12:00:00 a.m.,"6,21",Informal (Blue)
11/10/2012 12:00:00 a.m.,"4,68",Oficial
11/10/2012 12:00:00 a.m.,"6,21",Informal (Blue)
12/10/2012 12:00:00 a.m.,"4,68",Oficial
12/10/2012 12:00:00 a.m.,"6,2",Informal (Blue)
15/10/2012 12:00:00 a.m.,"4,68",Oficial
15/10/2012 12:00:00 a.m.,"6,2",Informal (Blue)
16/10/2012 12:00:00 a.m.,"4,68",Oficial
16/10/2012 12:00:00 a.m.,"6,22",Informal (Blue)
17/10/2012 12:00:00 a.m.,"4,68",Oficial
17/10/2012 12:00:00 a.m.,"6,33",Informal (Blue)
18/10/2012 12:00:00 a.m.,"4,75",Oficial
18/10/2012 12:00:00 a.m.,"6,32",Informal (Blue)
19/10/2012 12:00:00 a.m.,"4,755",Oficial
19/10/2012 12:00:00 a.m.,"6,31",Informal (Blue)
22/10/2012 12:00:00 a.m.,"4,755",Oficial
22/10/2012 12:00:00 a.m.,"6,28",Informal (Blue)
23/10/2012 12:00:00 a.m.,"4,76",Oficial
23/10/2012 12:00:00 a.m.,"6,32",Informal (Blue)
24/10/2012 12:00:00 a.m.,"4,765",Oficial
24/10/2012 12:00:00 a.m.,"6,37",Informal (Blue)
25/10/2012 12:00:00 a.m.,"4,77",Oficial
25/10/2012 12:00:00 a.m.,"6,37",Informal (Blue)
26/10/2012 12:00:00 a.m.,"4,77",Oficial
26/10/2012 12:00:00 a.m.,"6,38",Informal (Blue)
29/10/2012 12:00:00 a.m.,"4,77",Oficial
29/10/2012 12:00:00 a.m.,"6,35",Informal (Blue)
30/10/2012 12:00:00 a.m.,"4,775",Oficial
30/10/2012 12:00:00 a.m.,"6,36",Informal (Blue)
